trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2038,False,"{'a': 0.002, 'e': 0.017009215390586124}",25,17,15.801329651933454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2039,False,"{'a': 0.002, 'e': 0.016975230955568105}",20,11,18.55202916834137,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2040,False,"{'a': 0.002, 'e': 0.016941314421496552}",25,12,26.86345125718062,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2041,False,"{'a': 0.002, 'e': 0.01690746565270528}",30,22,16.0665511013572,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2042,False,"{'a': 0.002, 'e': 0.016873684513799156}",20,4,28.74061980711504,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2043,False,"{'a': 0.002, 'e': 0.01683997086965357}",30,20,21.214739415880075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2044,False,"{'a': 0.002, 'e': 0.016806324585413937}",20,12,15.260987350420635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2045,False,"{'a': 0.002, 'e': 0.016772745526495048}",25,15,18.688769042167923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2046,False,"{'a': 0.002, 'e': 0.016739233558580632}",20,3,29.10399759380386,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2047,False,"{'a': 0.002, 'e': 0.016705788547622755}",25,15,6.122416226975014,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2048,False,"{'a': 0.002, 'e': 0.016672410359841357}",25,20,11.115028826080788,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2049,False,"{'a': 0.002, 'e': 0.016639098861723624}",20,8,20.53110988969026,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2050,False,"{'a': 0.002, 'e': 0.01660585392002353}",20,8,20.8931401944797,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2051,False,"{'a': 0.002, 'e': 0.016572675401761255}",25,16,1.1071475914228182,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2052,False,"{'a': 0.002, 'e': 0.016539563174222668}",20,8,21.22822637638545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2053,False,"{'a': 0.002, 'e': 0.016506517104958845}",25,4,32.97957628052482,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
